epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.242,0.11811,1.61401,0.92805,0.44534,0.51313,0.29043,0.28964,0.12637,1.56499,0.2811,0.0667604,3.47617e-05,3.47617e-05
2,517.537,0.08542,1.44459,0.90433,0.26154,0.63255,0.32789,0.32777,0.08943,1.55323,0.25191,0.0334612,6.88961e-05,6.88961e-05
3,767.538,0.07645,1.4053,0.90149,0.42215,0.56777,0.39622,0.3961,0.09112,1.43553,0.25477,0.000161338,0.000102341,0.000102341
4,1016.29,0.07024,1.36954,0.89677,0.44803,0.55471,0.44751,0.44739,0.07382,1.3085,0.21445,0.000101367,0.000101367,0.000101367
5,1264.54,0.0684,1.33513,0.89577,0.37651,0.72132,0.49736,0.49619,0.06897,1.24616,0.21714,0.000100333,0.000100333,0.000100333
6,1512.6,0.0659,1.30408,0.89593,0.39621,0.75211,0.55424,0.55371,0.07538,1.25144,0.21895,9.92987e-05,9.92987e-05,9.92987e-05
7,1760.6,0.06165,1.28733,0.89262,0.45765,0.69461,0.58007,0.57975,0.08151,1.19144,0.22066,9.82644e-05,9.82644e-05,9.82644e-05
8,2008.89,0.05884,1.25917,0.89005,0.48094,0.70716,0.62915,0.62862,0.0729,1.07704,0.19806,9.72302e-05,9.72302e-05,9.72302e-05
9,2257.14,0.05878,1.25176,0.89432,0.50599,0.6734,0.60341,0.60301,0.09513,1.09774,0.2158,9.61959e-05,9.61959e-05,9.61959e-05
10,2505.06,inf,1.23356,0.89085,0.55362,0.69407,0.67501,0.67493,0.07509,1.02033,0.20007,9.51616e-05,9.51616e-05,9.51616e-05
11,2753.37,0.05573,1.21516,0.89222,0.53566,0.68326,0.6553,0.64904,0.07066,1.03166,0.19956,9.41274e-05,9.41274e-05,9.41274e-05
12,3001.37,0.05351,1.20515,0.89177,0.55758,0.70795,0.68824,0.68727,0.0421,0.93817,0.17654,9.30931e-05,9.30931e-05,9.30931e-05
13,3249.47,0.05248,1.1892,0.8897,0.57718,0.70875,0.69267,0.69122,0.06431,0.92316,0.19576,9.20589e-05,9.20589e-05,9.20589e-05
14,3497.45,0.05359,1.17966,0.89145,0.61371,0.65084,0.68392,0.68365,0.06298,0.95202,0.18413,9.10246e-05,9.10246e-05,9.10246e-05
15,3745.28,0.05078,1.16035,0.88856,0.53791,0.73182,0.69957,0.69945,0.046,0.97237,0.17236,8.99904e-05,8.99904e-05,8.99904e-05
16,3993.11,0.04954,1.15358,0.88831,0.60907,0.67459,0.69894,0.69275,0.08787,1.00939,0.21308,8.89561e-05,8.89561e-05,8.89561e-05
17,4241.02,0.04857,1.1479,0.8901,0.62243,0.71342,0.72563,0.72447,0.04756,0.81293,0.17159,8.79219e-05,8.79219e-05,8.79219e-05
18,4489.23,0.0484,1.13732,0.88872,0.62841,0.7175,0.74101,0.74052,0.09271,0.86138,0.20491,8.68876e-05,8.68876e-05,8.68876e-05
19,4737.15,0.04804,1.1223,0.89097,0.5841,0.73617,0.72603,0.72579,0.05566,0.91439,0.1718,8.58534e-05,8.58534e-05,8.58534e-05
20,4984.62,0.04733,1.10535,0.88773,0.63099,0.7119,0.737,0.73663,0.07361,0.86521,0.18635,8.48191e-05,8.48191e-05,8.48191e-05
21,5232.36,0.04662,1.10683,0.88987,0.62887,0.7167,0.73585,0.73579,0.04648,0.80526,0.16777,8.37849e-05,8.37849e-05,8.37849e-05
